Notebook Gamer Acer Nitro 5 AMD Ryzen 5-4600H, GeForce GTX 1650, 16GB RAM, SSD 512GB, 15.6' Full HD IPS 144Hz, Linux - AN515-44-R5YZ ; R$ 5.799,99 ;  Data: 14/10/2022 
Notebook Gamer Acer Nitro 5 AN515-55-59T4 Intel Core i5-10300H 8GB 512GB Tela de 15,6 Polegadas Windows 11 Home 64-bits ; R$ 4.523,76 ;  Data: 14/10/2022 
Notebook Acer Aspire 5 A515-55-592C Intel Core i5 - 8GB 256GB SSD 15,6” LED Windows 10 ; R$ 3.689,10 ;  Data: 14/10/2022 
Notebook Dell Vostro V15-3515-P40T 15.6" FHD AMD Ryzen 7 8GB 256GB SSD Windows 11 Pro Cinza Chumbo ; R$ 4.031,20 ;  Data: 14/10/2022 
Notebook ASUS ZenBook Duo UX482EAR-HY438W CORE i7 1195G7 16GB 512GB SSD 14"Anti-glare FHD Azul ; R$ 10.659,18 ;  Data: 14/10/2022 
Notebook ASUS E510MA-BR703X Intel Celeron Dual Core N4020 4GB 128GB W11 15,6" LED-backlit Rose Gold ; R$ 1.967,18 ;  Data: 14/10/2022 
Notebook Lenovo Ultrafino IdeaPad 3i Intel Core i5-10210U, NVIDIA GeForce MX330, 8GB, SSD 256GB, Windows 11, 15.6, Prata - 82BS000KBR ; R$ 3.599,99 ;  Data: 14/10/2022 
Notebook Gamer Acer Nitro 5 AMD Ryzen 7-4800H, GeForce GTX 1650, 16GB RAM, SSD 256GB NVMe, HDD 1TB, 15.6 FHD 144Hz, Linux - AN515-44-R4C8 ; R$ 6.599,99 ;  Data: 14/10/2022 
Notebook Gamer Lenovo IdeaPad Gaming 3i AMD Ryzen - 7 8GB 256GB SSD 15,5” Full HD NVIDIA GTX 1650 ; R$ 4.499,10 ;  Data: 14/10/2022 
Notebook Lenovo IdeaPad 3i i7-1165G7 8GB 256GB SSD Placa de Vídeo Intel Iris Xe Linux 15.6" ; R$ 3.581,07 ;  Data: 14/10/2022 
